"HolderAddress","Quantity","PendingBalanceUpdate"
"0x048728fc95f8aa2df4d7e94decfe6de8bd2d3b0f","2","No"
"0x0b6726d84b553351e8b85b21a37f2b69a0801732","2","No"
"0x0f027bb8a0c172a8a3231e56febc6aa9425d6b32","2","No"
"0x11e4e0715c9280a31cb0166dca1c752932ae12ca","2","No"
"0x13daf15e66e6214a1645413f3d858d3947f5900a","2","No"
"0x1b28728b06beed3a5363da146b59db372bbad047","2","No"
"0x1bd2e84c63c85e29d71b347a23a098fa0b465fa1","2","No"
"0x1d329674081b53f84442e2273fe627a9c8324820","2","No"
"0x1f5b58e59674dc630da92ea97e99a33914b25e15","2","No"
"0x23977ad1baa746ca6551b27fe00ff8984cfe1e09","2","No"
"0x24f201057d686b421407f347ecb78e522d9e7af2","2","No"
"0x25109b421f7df83dcf025025c56358263189d347","2","No"
"0x2b30e2ede54a12bc20feb4de21d3c4df4be5a764","2","No"
"0x2bf5f18b21e78bac8163ae8ef3b5cd1530141570","2","No"
"0x2e1336f7710b89153afe979cd14644afcfb32212","2","No"
"0x2f36fb7f77a69e7b02a8d9ebafaeef33b91e8861","2","No"
"0x30dbc7fa3ce397809391e78f2bb7d1953140df96","2","No"
"0x316aa2137ae15558986d649d4afa8f0f7b43564d","2","No"
"0x32241c3acf2a121ab8c9138562e15d4fe9e95067","2","No"
"0x372d5ab34d594a68a01ddc78b0464add52d3a242","2","No"
"0x376ca6892ab19bfd90515257b5f6b31561c300aa","2","No"
"0x38df612a7b51f4a0a37ed8518eff85eebc6922ab","2","No"
"0x44bc8bf42e6c1f8f5d285fbb65986122c484a3f1","2","No"
"0x48fbd7341bbcd91a108164c6bced3ef193f5b041","2","No"
"0x4d63af7b7c21d04024abeccdaacd4479a701cbb1","2","No"
"0x4e0fa8fea0cb7f800004feb89f2ec40c941aed49","2","No"
"0x53b5f97c1357fd8a5c90ca15c40043bb2899e2dc","2","No"
"0x589dc83d19b1f41a6d9b79ed2cc20fbaef5902ac","2","No"
"0x5b27100dfc4f76737d3007298c991dafdef9dc5b","2","No"
"0x5b59f275679f3cb4b0b4272adb5c5727d7efb5e7","2","No"
"0x5dc935682edde4e5b37441f943447559acd727e3","2","No"
"0x6210477b3025bf5ea50a35d39e7d2875dc11661c","2","No"
"0x6bd36310cec97dcb2499fafe285b48a6f8d0fd13","2","No"
"0x6cf7538744dc6a1416eb2a9dfd2daf2c9a829832","2","No"
"0x729250be25dc878dd400bf5bef702de77c83493e","2","No"
"0x77d2cf58aa4da90b3afcd283646568e4383193bf","2","No"
"0x791525f8013c76a10887a280d357295bc30d6c7b","2","No"
"0x7b4079ec07da14832bdb7ee646e5dc12da9b412a","2","No"
"0x7c6f06195d9da9453c796563df474720c124b46b","2","No"
"0x7cd57b61d2c2c05dc0fde21e6cf653c99b1c1d36","2","No"
"0x84aaa468fff280cf601f1a5ba7daa61a058fc1bc","2","No"
"0x86d10a967f88128e8585701c8086b9a6f6d56dca","2","No"
"0x8b529ef78046008f9d1fbc91c7407030de96ee32","2","No"
"0x90e13f49f203e71efb8aaf49b9e7d21b4d8c5dd3","2","No"
"0x93066b031da5cae0740742faec2b097d14b9597c","2","No"
"0x956b43bcdb63234605648e14cc275941c5cbec9e","2","No"
"0x95d2ba09182101f577fb21d080fd9bc0d916011c","2","No"
"0x96e4e2ebbeff1f45bfb678695628fa7a0398de1c","2","No"
"0x99147b55a164daad6ec51095a232fb82c4468d86","2","No"
"0x9d3b23128f5c742ef100ab810f80e7fd0746d2d1","2","No"
"0xa4cd26a567908aac033b3d8a61e8f0fde844d384","2","No"
"0xa74cbbe9211e8ba0b19b772ea5b542249347fb30","2","No"
"0xab0fbe7af97db44199e13d5b4348309f935e1a22","2","No"
"0xac2bdb872655572f616879eb32e5fb81f336974c","2","No"
"0xafed359f24c45cfb7f563dfe60ff6d6cc193192a","2","No"
"0xb08d13e1aac889a4e67e060b5f7dc2a3edc575b5","2","No"
"0xb22981ba3fe1de2325935c91a3b717168fb86714","2","No"
"0xb5a790758cdb6644305d1cf368b67bbba4c9a68c","2","No"
"0xb60faafebe119db715c6b23cc3960b758e64caaf","2","No"
"0xb82efedc8c30e788705e6151dffdf71e3d00bca9","2","No"
"0xb8f6ad3d86ff8e4db67856ebaca007015c9d38bd","2","No"
"0xbab608d14b0748013b9e64cc6637c6155612d422","2","No"
"0xbaf18722c137e725327f1376329d3c99f26f6a60","2","No"
"0xbbbc1f6be7a36f9b49f807ae24ed7ebab34d82ce","2","No"
"0xbbf1aec00592aaedfcf645c62771ff6ce59a811e","2","No"
"0xc1d84f9aded621c73836be2bb52c6c2062f94c25","2","No"
"0xc4cddca5518d71d4ce2ce0cb4801e3da9d2e2389","2","No"
"0xc722e255ae7cb1c5fa9d7f558e5b88ac8b4b78a0","2","No"
"0xc799be8de03f20b2d3b101e6f6516d614e6ffe06","2","No"
"0xcb4d9715d5fab69c4a50037e102471382e16753a","2","No"
"0xcb5fbae52be76d53732da7ff70278a35adfe4f71","2","No"
"0xccc7f9ac1d3794a6a28d08710caad016710208b2","2","No"
"0xcd7a89b51d071d894c8ea276ba48090a1af77630","2","No"
"0xd47fc48504eefed7273df627b002d3524fcf8a8a","2","No"
"0xd5281b0011eb37ab391e59add92ccb33a6870816","2","No"
"0xd785a0b9393f8280e1da72c81b8e6d18eda81db6","2","No"
"0xdb6dd690c662923909f4c912b0a3b8648e61a706","2","No"
"0xe2ebf6683430fb4432d8b771287c49ff38d7e4af","2","No"
"0xe533611c8cf37a8ef5ba1d329f58edb5228c9017","2","No"
"0xe5a802314602d45ce8734df30701a45f7875759a","2","No"
"0xe5bcef10605f966a491456e49914d195194b5cf4","2","No"
"0xe6b5a31d8bb53d2c769864ac137fe25f4989f1fd","2","No"
"0xe70bcf41c8fea171f156ddeb1e5daee5deedeaa7","2","No"
"0xebcc6829526ea4d2d36e36e3e09fb389c92fe7fb","2","No"
"0xec38da5a314af424b1dc65a0caa1f38d0bb99220","2","No"
"0xef389a138d961edecda8a0c2b0f0c94db82909bf","2","No"
"0xf0b7cc8c5227eb90b49e627236eace7894d4d234","2","No"
"0xf1c68bae103be7b4566599d828697c16be4021b5","2","No"
"0xf381261429fd29c8cf0acaae025a838f1366f454","2","No"
"0xf3a11f43420e565373bd0fb1a638514938a6c530","2","No"
"0xf966614412df64e80fad2c7108c8b657b19c3cba","2","No"
"0xfa1d66bf587eea1c59c63e3e6f471c5805ea8a2f","2","No"
"0xfc9b404b198c7d35110903a5570299cd642999ff","2","No"
"0xfd804b91437803890db86e2171eb0b4de13144e3","2","No"
"0xff6d4b6f665a9d716ba039ed563f1d06524f6e24","2","No"
"0x010dc5440ad49f9ec0dd325b622d9fd225944ee4","1","No"
"0x019a1aefd79a51fe5b6b20dd8a4458cdc0a89646","1","No"
"0x02220c89df03e63b6cf5cd80276e26de6331a1d9","1","No"
"0x0252ac6b928c8ae78a6404d0f7b55fe82f94dd3e","1","No"
"0x0345fa5dc69c9ca90a441215e2fa8a0b36469286","1","No"
"0x039abddbaf885513e4c034059986e0fe0473e33a","1","No"
"0x0423601d4c5f782754a45dfa60a6210e9e3f70b1","1","No"
"0x04f1635444352e8a8716ba1593dac0d7f80c5508","1","No"
"0x05284b4c80fb7869b8e672d54d9b450626c10a98","1","No"
"0x060a260e19f7fbd6fdc19028e5a8c90a3aedf980","1","No"
"0x061e98beff402b3e7493b22c681966a89bc37211","1","No"
"0x0624e2696007285af20d8c3e1fa7abc30b1670c2","1","No"
"0x063882309dff155ad967bcf08db42e0ee799b602","1","No"
"0x067adbab7b27f9a1556436d38de21a3318121049","1","No"
"0x06a90756e57bc7a016eed0ab23fc36d11c42bba0","1","No"
"0x06c2c4db3776d500636de63e4f109386dcba6ae2","1","No"
"0x073b280b5db56578d475e0b43238334c86ffbfb5","1","No"
"0x07772340a7600de0b7f20cf4831c38b4bd48bcda","1","No"
"0x079e6aeea7fae7ddd2deed22a32e5a7923ae0ba5","1","No"
"0x07da09e4bc7778b67d119f3bc4ad909ebf74a928","1","No"
"0x07e77fa8521cea90cb532fa3d4f2f76b37cb005a","1","No"
"0x080219595ecf1d967f23f2055e864b041b1cdee6","1","No"
"0x081ea781a87b806b11f3ad6db68118d241ac3c80","1","No"
"0x082a7114ceaf2f1853a6065efed4599e2ffd448b","1","No"
"0x086d04193acd9874b2b80f998bb96a77ad19ced7","1","No"
"0x087c4e8d89c9697bcc8a7b5a2e23f34477b9e7f2","1","No"
"0x09d9ee63b46463a3f420fb92bf18f62a91bf5d5d","1","No"
"0x0adedda72e3b43719bc525e4e4be0720d7fa3de6","1","No"
"0x0b1f9aaa9cc2c36e9eead3228c3a985748242185","1","No"
"0x0b31dd1f0657781d26a90c17031a55cd7d036352","1","No"
"0x0c8f3e3912f35a59ffddc9ff1abb8fafc89b29de","1","No"
"0x0ccc8d048ce690d2b80d9a991bb74091bcfa3b80","1","No"
"0x0d6301a8ad83b85b74b91952893a6f7e5f70159e","1","No"
"0x0dd28c54da28693dc6ac8adbf23354f5f78081b5","1","No"
"0x0dfbe7e82c8cef60332d6bcaabe714c6f60a8d68","1","No"
"0x0e8d2969882d329f3f6ccb9bb9f556a3c6d59f19","1","No"
"0x0f5842f9894c5f4205b87da93b48c21ea9fbe30d","1","No"
"0x0f7eb8a1a7093fc1a5fa25f9145a7b6beaef3d77","1","No"
"0x1022e35e9ea83b76a1ac01ecb091c252bf934f5f","1","No"
"0x1045d1dd8d5ee1a905c2b0b611f3141df04059c2","1","No"
"0x1115f1d81a4027f5655b0955deb55c8a1c7ba6bf","1","No"
"0x117bbed3a5d3dff1bd8e83693208ceaf70e0bed3","1","No"
"0x1234cffeb82369aa2ceb7b24ed624f9198ff5e75","1","No"
"0x12841562c7ec52a0c9d804d2e5107a153ced647f","1","No"
"0x12afc6451f21feddeb1f732d6baa02684c258d9c","1","No"
"0x12dde92e641f1fd82bd2b0707b7ddee4cb4f671a","1","No"
"0x130f1f4273b6b3781480d94fc518e864bd0781fc","1","No"
"0x1353f76e1e0ae32312f07e4089e2ea7ce6c2f3b1","1","No"
"0x13e9b3ea5159ca4dccef9dc2907974027d663703","1","No"
"0x1452a8c4745001cda8a5920b773cbd58b1d29b43","1","No"
"0x14b322a59ce3c3ad8343b035a3bfae09f73e8f3b","1","No"
"0x14c5d9756a2443aed4c5dbe05ce39e1f1a27818a","1","No"
"0x14dc0fb398c4afd203d7aa155225e1f2db8ca135","1","No"
"0x157034735eff186f38aefa850bfc3cd04d7c8d8d","1","No"
"0x15875a578bad5a914cf379258136a87aeba566af","1","No"
"0x16028f81145cd5174e2a4389f203921d9048c6d7","1","No"
"0x1619fea9581f747afa42aaadfab55226482bad7a","1","No"
"0x16b03389be83f26c9f1a023dce0f9eda58a5708a","1","No"
"0x17a30922a55708340a2d37b6400e54d50ad3e001","1","No"
"0x18313412fdde30f42c385133907a9c22fdd7fbf8","1","No"
"0x18ee60706ed150f6e21d020c1cede55e4267f409","1","No"
"0x19460b640ea9d3cc0e545d6a86e3fd9ee08872c3","1","No"
"0x19dda3e9916854f4ad51b8f07457c8d5ce1c4c8b","1","No"
"0x1a2bf966867267a8076f5d8a369a02001cff8463","1","No"
"0x1a6d4517c7a00089ee0ea54a6fffd59d4180ef80","1","No"
"0x1c13cbb5745b7a4ae9e2efcf08da0e34f7ebc3c5","1","No"
"0x1c8c23d270e56177d55a2cb0b90775e89b936f3d","1","No"
"0x1cca90788b71bed74e565442bd81f6a7f5bbda0e","1","No"
"0x1d2ce05cd6335691597925cf6d1ee1883ba210a2","1","No"
"0x1d2f5a126dc960854d475a4644769328d0da8213","1","No"
"0x1d60c34f508bbbd7f1cb50b375c4cdd25e718d1c","1","No"
"0x1eae1d8d060ddd478c93e0ab4a848d482b8b414a","1","No"
"0x200874a1fa654bf7e9794af9e97e53ed07b94dc3","1","No"
"0x201c0ac3f6899705a9068c3215baf7d294a85de4","1","No"
"0x20816d1286e8fc37c3f1773562d503ce5f814107","1","No"
"0x2096ef3ff73d1dec51d81a07d1a8eee562153b0e","1","No"
"0x2160404dfb0fe854c48ffc1a9252436870c9ac94","1","No"
"0x2182e01627dc99e5acb0ea04206e9990c69cebb8","1","No"
"0x2230c2a0d8d1ac89f699feec8011579dae138d94","1","No"
"0x2264e05c4fcb89eeb0e35a19324d7f6ccf038db7","1","No"
"0x227878fbb6b7ebcb472f78989d7accaf6618c97b","1","No"
"0x23461e24f1d7601a674ab672adee0b4459302214","1","No"
"0x23fb807e4881f629fcec79cbe1ec95eeb1b8aa76","1","No"
"0x2462c818b7f8a075babc1d1188cb127c8121b2d3","1","No"
"0x24ce91e076a07306728b26ea20782e6bedb555cb","1","No"
"0x25bcbb57b9525b64c399e3fde17c1b113d06a514","1","No"
"0x26241414c1ce031d63b28ee586c0ad52f982edde","1","No"
"0x276e69cdd336001afef07075859a93078496c3c1","1","No"
"0x286f683d1e73b17be4cf30c1ccd7634c2a7cfc58","1","No"
"0x296f0ec9e1d90787adea15ee7ce1485f2104a5b6","1","No"
"0x2992bdb8ad24f5fd02f1bd37bb112cf137e43d7c","1","No"
"0x299776620339ea8d5a4aaa2597fcf75481ada0af","1","No"
"0x299aaf6f2cb60e0525777f4fb2b29573ef71fdc0","1","No"
"0x29ffa152b11a703268bb282ca274c0bfbe82092b","1","No"
"0x2ab80859ea06d80c6aa3743e16cc9901e421128c","1","No"
"0x2af1847f961bbb02f2d2cb725749128c348a3390","1","No"
"0x2b0acf7a618cfa4b6704a4d814c8925690cdc04b","1","No"
"0x2b0c069f7e037912ad02f3616a1e70cc34c7ff34","1","No"
"0x2b749d044e42cf7974a3d7dac16b39b5d88fe0ce","1","No"
"0x2c082b1c7b6eaddf8df351560da99c77654e7083","1","No"
"0x2c4e1e7251470d5731dc7c6290befbacf91c1f80","1","No"
"0x2d4947ae2f00e2dc4d41c975f969f0898e8bcd64","1","No"
"0x2d674857986b5c052ca1cb07b1d2ebf304e2ac5c","1","No"
"0x2d9c146486646d5d48ed493ac659a48ce5c18785","1","No"
"0x2dde4eefe48b040c2db25617f7da204c2fcac1d2","1","No"
"0x2fd4845d1779a5b13e155ad3169cf0a510bbbc8b","1","No"
"0x3106c024b3e1d77ac8708befd003d230c9a51e31","1","No"
"0x31b33f4aba5db939932e5cfebb71077107d5db57","1","No"
"0x31ca28b43f5d280ff09a72893c1677b295e4e4a5","1","No"
"0x3254dd4c131edd9da829c5c151443bfe146609a4","1","No"
"0x33107b56647014f37375b8291a86409f81a148db","1","No"
"0x33cb78cf0473145dad3a49cfdba6911e6006b688","1","No"
"0x352526e5a98534e4b44cef364170f1c038370ba4","1","No"
"0x353ba7829f4002800112ba6214dabcd51e82e078","1","No"
"0x3575b29a214974db700a4c0ef7058d0972fa5a4f","1","No"
"0x36d5f0a62416134b331968b8c6a17ee7a876a8bc","1","No"
"0x37a7d8b44feee7832b8ca48d8f28a63f13d7bb39","1","No"
"0x37fe376f51585e5074e1373659453ffd56c5b9f7","1","No"
"0x380a19b076e16bdcf151ade3df692eb31c705614","1","No"
"0x38e7334268959aa1e72f6d962b5352ef244389b6","1","No"
"0x38ec78f2293b914949df522addb37a0bc4bc3088","1","No"
"0x38eccc1e37d6cf21d4bef43b25866006f6bf960b","1","No"
"0x391891af67e29d97e61e30c3036a0874f5da411e","1","No"
"0x392fbd98f9cf6762a408ccc114ef8fcd09412d43","1","No"
"0x3995087938db00e984989406f5fc441b461986ca","1","No"
"0x399e0ae23663f27181ebb4e66ec504b3aab25541","1","No"
"0x3a36548b87e449ba45f153bcda04e9d3e5a30c19","1","No"
"0x3ada85d4f516b241a9e80e50fd3599a08dac54db","1","No"
"0x3b52d688a0d2738562912fc225520a5d25533486","1","No"
"0x3b9988e318874e5a2fbf32e3521951756d4f43af","1","No"
"0x3ba60244182e6b124a9f65069953fcc91d599b1c","1","No"
"0x3cc04875e98edf01065a4b27e00bcfeddb76cba8","1","No"
"0x3d36393124479766a5fc95e50976805b496650a8","1","No"
"0x3d4b1e9fa533548b74118bb76d11b752ab5fe150","1","No"
"0x3e3d3f74aea588fe26423b6a33ca3d8d98af06ac","1","No"
"0x3eab5a7648db96a28e9d8ddf5356b1e600fb731d","1","No"
"0x3ec8f28e114e082c4c8e6844b4df5bc3aa76229f","1","No"
"0x3eee3dbb7910026074924ae278520f1a180ab3aa","1","No"
"0x3fbf669c9a72f06c125032c6dd7aa1d1d51c5eb8","1","No"
"0x40067d0736ff54789ab846b9a23ae7573a5d0cc9","1","No"
"0x4072666559580b59ef51833f102dc893f6e39826","1","No"
"0x415e744d6c9e43cd6b204fe22b65fc5ff187ed40","1","No"
"0x417141c14426ea2e16fb6c45965b51a6493233e7","1","No"
"0x41c92f0709434920e869c3a28e5029f69249690a","1","No"
"0x4207df52f7ff229364899b21e9c4ad36d3d42981","1","No"
"0x422f2d2efa7d3e38fecad22f382668f8527dfae8","1","No"
"0x42bdb47677fe63e38f5f54f2b542c95cc5599b9d","1","No"
"0x4333d3d3f8e14ff7547c7a540fe1a48836c99ec6","1","No"
"0x439ee1b0903b17427c3d226761b8373876fec544","1","No"
"0x43ef6f0ab64be24a05d8126088cf4358e70012b5","1","No"
"0x4420559d41b04cc68f91ef8b6cc7842a8384c203","1","No"
"0x45851743e34bfd3302a0c51725aa1f92304f9f9f","1","No"
"0x45fbfa2c2d78632fcdf6f5edb3c693c7bfb6bcde","1","No"
"0x4604d9d48abacd7b8eac1b300dd154b556cf9a95","1","No"
"0x462f0560e473e1545fd4d0680c02c499aaf01711","1","No"
"0x46a8b96b236dc3c4300425a593380e870a85122c","1","No"
"0x46f536a10fde2fc261cd66fc4bfe33b6800ee3ce","1","No"
"0x475a475dee7fd89ff7c67da71c277cbcac4bdfbe","1","No"
"0x477c614fd68e6f2614596f20ea1b925ed86119a6","1","No"
"0x4791e24f331185d4e36393d50bdb13590ec322ba","1","No"
"0x47ab19ad14faf69e67bca1e79370d808a3b9525f","1","No"
"0x47c633985e2a39b5bef016b98d708e4bde3ef746","1","No"
"0x48ab8492ff201c8eae9f89b17143ded620b3bd06","1","No"
"0x48b4a05f1f6cc77b984bf29bcd221177cb24f8ba","1","No"
"0x49df3cca2670eb0d591146b16359fe336e476f29","1","No"
"0x4abb75f5fd5efc4fd21eeb1d558193beb6d99943","1","No"
"0x4b207d9e5a4ea61303a96eceab5eb3ee41d3ba1f","1","No"
"0x4c248c9e22ef8d56bca46a08e62aec654e1dff53","1","No"
"0x4cc7bfe321d333433e20bb31861ad100e07a570c","1","No"
"0x4cced8f41b1e0f470b24bd8156ea219e9a3fe502","1","No"
"0x4e0a101792d0756d7c7cd8793497b981f5848ef1","1","No"
"0x4e8829f7cf4403a480c385602e3c88d91087ab03","1","No"
"0x4ee2b1b799e7a49628ead56860fb7102f6d4e467","1","No"
"0x4eeb252ea907a972688ec0bba7d68327e9869285","1","No"
"0x4f75b66cdc60d8550e176d112275e5338b413fc3","1","No"
"0x4f8f32bd0f6773c0ba59c326c88d0412c714dbb5","1","No"
"0x4f9be993e7c24151405cb530426a6bbf26c803a0","1","No"
"0x4fbefaf1bff0130945c61603b97d38dd6e21f5cf","1","No"
"0x507ae5a9c44bef13d99188fd5086c6780d4e198f","1","No"
"0x514cbca83e8977b6e4a07dcaef761b202110e291","1","No"
