Address,VoteCount
0x4a7c6899cdcb379e284fbfd045462e751da4c7ce,18
0x55bc991b2edf3ddb4c520b222be4f378418ff0fa,99
0xb842afd82d940ff5d8f6ef3399572592ebf182b0,119
0x82a8439ba037f88bc73c4ccf55292e158a67f125,11
0x6ae83eab68b7112bad5afd72d6b24546abff137d,5
0xc24da173a250e9ca5c54870639ebe5f88be5102d,14
0x96481cb0fcd7673254ebccc42dce9b92da10ea04,52
0xfe45baf0f18c207152a807c1b05926583cfe2e4b,30
0x083fc10ce7e97cafbae0fe332a9c4384c5f54e45,7
0x8d689476eb446a1fb0065bffac32398ed7f89165,14
0x91715128a71c9c734cdc20e5edeeea02e72e428e,14
0x8b1674a617f103897fb82ec6b8eb749ba0b9765b,76
0x1f3813fe7ace2a33585f1438215c7f42832fb7b3,100
0x9bb75183646e2a0dc855498bacd72b769ae6ced3,68
0x61c808d82a3ac53231750dadc13c777b59310bd9,28
0xd7f0ddcbb0117a53e9ff2cad814b8b810a314f59,34
0x7ee09c11d6dc9684d6d5a4c6d333e5b9e336bb6c,66
0x447f95026107aaed7472a0470931e689f51e0e42,1
0xd7f45cef0024000384db91793a7b7072c91ace28,1
0x7c363e4650ca88e4676f1ce2ac6f2dd50c102198,1
0x190256bcd568768866ed408f2c25cf9404366fd6,1
0x34a7df36e5a098dea126072661fe09958f72f8d5,1
0x715b4ecfb92d3e74903bcd26e7da719141cbc2dd,1
0xefe75bc70e9ed3be4717036d75888fe6f34fad3c,1
0xd0a66528f03825a19c544bcf5c5336f9ee7f8f3a,1
0xbce03405638247f5ca3ea767b2367b1af307ea81,1
0x8fb5c1aff8f3b1c8a9e4c19fccd5e38f688ce77f,1
0x1a91c0df156a5f38aec0813d055aa0184fc47826,1
0xc8381ca290c198f5ab739a1841ce8aedb0b330d5,1
0x31f02e88bd6110723e767af9e7186e61fc9e88f8,2
0xfadafce89ea2221fa33005640acf2c923312f2b9,1
0x6af235d2bbe050e6291615b71ca5829658810142,2
