address,exclusion_reason,sources
0x2957f3015194b44e4eeedc9d7d2af20b456631c9,sources/exclude/ever-slashed.csv,sources/stake-cat-solo-stakers-B.csv
0x15b15c12317be693a556740fcb6fe6ce9717d1bd,sources/exclude/ever-slashed.csv,sources/rated-solo-staker.csv
0xabc18c17255c679d09c86b8f315c26649b2a25d3,sources/exclude/ever-slashed.csv,sources/rated-solo-staker.csv
0xa05c7acb48d674248d874adb77467d72bbfac4a3,sources/exclude/ever-slashed.csv,sources/rated-solo-staker.csv;sources/stake-cat-solo-stakers-B.csv
0x3a4d720e5ce109700909de4ffc39b7459b9652f9,sources/exclude/ever-slashed.csv,sources/rated-solo-staker.csv
0x7761e502b2cf1ff59c9c987cf9d0d563400b87fd,sources/exclude/ever-slashed.csv,sources/stake-cat-solo-stakers-B.csv
0x33d739f004750b7d2c9d4533eee3c841a86549e0,sources/exclude/ever-slashed.csv,sources/stake-cat-solo-stakers-B.csv
0x74134d0c91798d720a5585364bb4be7396c5b973,sources/exclude/ever-slashed.csv,sources/stake-cat-solo-stakers-B.csv
0xcb5c5d8a408a807f6dff603d7e32f3154f29ed37,sources/exclude/ever-slashed.csv,sources/rated-solo-staker.csv
0x3e5e68cc7cf9f1ac5ed19e59c9796e43dfb901b3,sources/exclude/ever-slashed.csv,sources/rated-solo-staker.csv
0xb4701783e64a83e3aadeeaa3be072d1b5fba76ec,sources/exclude/ever-slashed.csv,sources/rated-solo-staker.csv
0x0debf87af097b474e8e57b1d101db10aa2ae5ee4,sources/exclude/ever-slashed.csv,sources/stake-cat-solo-stakers-B.csv
0xa1122c117d0a9ab6c036699a415614ef4c637e4b,sources/exclude/ever-slashed.csv,sources/rated-solo-staker.csv
0x7bf4092eb8e7517c144fd630f8ec46fb9f276919,sources/exclude/ever-slashed.csv,sources/stake-cat-solo-stakers-B.csv
0xa2a680576e8ce48801efdad6d822ecae6bcaf8a3,sources/exclude/ever-slashed.csv,sources/stake-cat-solo-stakers-B.csv
0xabb53ba4e5b7207ed9cba559d0046091bec560fc,sources/exclude/ever-slashed.csv,sources/stake-cat-solo-stakers-B.csv
0x823968a45d3f300c6a6f05c3766a0aaffc26e404,sources/exclude/ever-slashed.csv,sources/stake-cat-solo-stakers-B.csv
0x0e5f0ae1f94326976ded178ec87a0d0bdc5c03d9,sources/exclude/ever-slashed.csv,sources/rated-solo-staker.csv;sources/stake-cat-solo-stakers-B.csv
0x0c1262ef1ca770df116d99c8b617966ea012059f,sources/exclude/ever-slashed.csv,sources/stake-cat-solo-stakers-B.csv
0x75c2bff875fb2bf8e425f649d5207764ab2e8cf4,sources/exclude/ever-slashed.csv,sources/rated-solo-staker.csv
