address,galxe-lido-point-holders,lido-dappnode-buyers,obol-techne-credentials-base,obol-techne-credentials-bronze,obol-techne-credentials-silver,rated-solo-staker,stake-cat-gnosischain-solo-stakers,stake-cat-rocketpool-solo-stakers,stake-cat-solo-stakers-B,csm-testnet-good-performers
0x0c8f3e3912f35a59ffddc9ff1abb8fafc89b29de,X,,,,X,,,,,
0x47045d1ee924ad6ff890ce8b52d6c1f08ad42235,X,,,,,,,,,
0xbe6d84a503908f7ade8471d4f4b5bed5ecca4643,X,,X,X,X,,,,,
0x4072666559580b59ef51833f102dc893f6e39826,X,,,,X,,,,,
0xac2bdb872655572f616879eb32e5fb81f336974c,X,,,,,,,,X,
0xac1f6835b47045a98e049ac2d7066296158f914b,X,,,,,,,,,
0x3575b29a214974db700a4c0ef7058d0972fa5a4f,X,,,,X,,,,,
0xdd6b62a1a893edd191609d18f35046017ca9d528,X,,,,,,,,,
0xc52571c5d19e3a9f37f3af0fe52087734d878b4a,X,,,,,,,,,
0x8c694eeab14e9e8581c3d25b0d7f4c6913b73a95,X,,,,,,,,,
0x1fabd3f671a5202bf83b30ec9ecc14cb8e8654e7,X,,,,,,,,,
0xe70adf9ae4d5f68e80a8e2c5ea3b916dd49c6d87,X,,,,,,,,,X
0x89234f7c562c1aba8bd8d095387f70d70a1f1e5f,X,,,,X,,,,,
0x9d412ef6bfc03c816c780bad7ce3654281ede184,X,,X,,X,,,,,
0xb221f436ec7127cfe0abf58904017045081907c2,X,,,,,,,,,
0x75e2bfe1c7fe6f69cf61f0067454be844c772eda,X,,,,,,,,,
0x1e5b3eff3130704ed6fa224d71c1e1df2de885c0,X,,,,,,,,,
0x57d3ca64f4745b1936e34b3296238246895aecf3,X,,,,,,,,,X
0x8b5b54634d0f798a9a7f90d57b1e99ac54219149,X,,,X,X,,,,,
0x0982cebfca393ca12e38e4beda4ebd4dacda6142,X,,,,,,,,,
0x2160404dfb0fe854c48ffc1a9252436870c9ac94,X,,X,,X,,,,,X
0x18313412fdde30f42c385133907a9c22fdd7fbf8,X,,,,X,,,,,
0x9df2262cba71cd9a9f84b00d24e8a6374a1cf6f0,X,,,,X,,,,,
0x25916caa0db559bc7f21850cfe678dc9f273a8d7,X,,,,,,,,,X
0xba1cf8a6709a907aa8708b4d05701c1991a7f259,X,,X,,X,,,,,
0x47ffa510e72734118e77027aaabd1672bedf9d4c,X,,,,,,,,,
0x937bab5ac1bb6826cae62f3fc65b67f75e0a0a9e,X,,,,,,,,,
0xea56b8a92906a16a0781a0cae52b473c41b9903c,X,,,,X,,,,,
0x2f81236befdf1586e071aa84bea1ef257fe23d1e,X,,X,,,,,,,
0x0813bf4d9be06f517079abccea79a356af12929d,X,,,,,,,,,
0xd1075e9fe0b21a6c934770250624d559f02af09d,X,,,,,,,,,
0x79c572a0ac066221a56a024495101dabbae0ff0d,X,,,,X,,,,,
0xe85d85ae5e83cd4e752079f166a4f583eec2f849,X,,,,,,,,,
0xd83f98b5e4a0de208725990ae216d072302f450d,X,,,X,,,,,,
0x1d2ce05cd6335691597925cf6d1ee1883ba210a2,X,,,,X,,,,,
0x7dffcfc575fa48c501ed22aace259212fea17297,X,,X,X,X,,,,,
0xc9534a59ef121516e5e1aead8d45d151e768e216,X,,,,,,,,,
0x2190cd71fddc2c131434ff89b26ce09a9890d59e,X,,X,,,,,,,
0x063882309dff155ad967bcf08db42e0ee799b602,X,,X,X,X,,,,,
0x3b98517fc209671aea5d22a58e068f5a7eab03a8,X,,,,,,,,,
0xcab79fc4a49051ff0f7bccf93382855dc7526629,X,,X,X,X,,,,,
0x6fd8e8858866effbe0cc710bfbce753901dfd50b,X,,X,X,,,,,,
0x4cb75146e98562c9d79b31649c6c739e4dcb7cd5,X,,,,,,,,,
0x7b4079ec07da14832bdb7ee646e5dc12da9b412a,X,,,,X,,,,,
0xbb9f3a92d58dc01ce992abe151313de80463a987,X,,,,,,,,,
0x515d9ec9a70de3597c561831fe636fcb7c94040e,X,,,,X,,,,,
0x6210477b3025bf5ea50a35d39e7d2875dc11661c,X,,,X,,,,,,
0x94ddd3dfc7f2b09980daf722c1563e250c11b988,X,,,,,,,,,X
0x7a9e60326bff7f55cf2b4415c84dab69f705dd3c,X,,,,X,,,,,
0x3b52d688a0d2738562912fc225520a5d25533486,X,,X,X,,,,,,
0x00d4c10e21c939c2e56f129edbce3be31f703651,X,,,,,,,,,
0x5bacdc3cf6906f58128a2d6a2d22c1f0bd4d06f2,X,,,,X,,,,,
0x097fed41fb8a5707bd1522050fbc57006f9f02b9,X,,,,,,,,,
0x1353f76e1e0ae32312f07e4089e2ea7ce6c2f3b1,X,,X,,,,,,,
0xc4a3feeeb2446742f108dc3b06727b289f46c817,X,,,,,,,,,
0x5b4a0ae9a19306f1cf3d9aa227248750908be506,X,,,,X,,,,,
0x2775204be62e5a47de09a3ecd7e8eb40e27dc653,X,,X,X,,,,,,
0x91ec68005d3114771f158f87224825965230a974,X,,,,,,,,,
0x9dd4db385b28a458856f0c0c4b7224ab2ae23647,X,,,,,,,,,X
0x0eb2d762a33552806d21c1246625e586c43addc1,X,,,,,,,,,
0x6a7371210086ee6b5ad6a9291aa8655b6d1d1141,X,,,,X,,,,,
0x0d54195d55385824f7a2d2b9045285cf3b489e95,X,,,,,,,,,X
0xa33d101debea0a999f3e1a5c68d5e52464d28784,X,,,,,,,,,
0xc62af32b04708176d62a631250df4d6fcae58bcf,X,,X,,,,,,,
0xf1855aa2700349958a9cc27bd9262c444d8d4999,X,,,,X,,,,,
0x6897abe0fd62b589260784b21f4ca3f78a0d8017,X,,X,,,,,,,X
0xf412716874ddcd23d81e2d94048e48c0ad965522,X,,,,,,,,,
0x4b36dae68ae191443fdcff240f070ab8d7a4e00a,X,,X,,,,,,,X
0x674503177ca0710cd3afe1b55a57a4e8e12e0322,X,,,,,,,,,
0xf038144e1ff8534df404eb78c9466189e9a062f5,X,,,,X,,,,,
0xa49224407bfbcfced35d70657f44041b8e162ef9,X,,,X,X,,,,,X
0x20127d85fe03a615af605404826e930c7a46d738,X,,,,,,,,X,
0x4cced8f41b1e0f470b24bd8156ea219e9a3fe502,X,,X,,,,,,,
0xcb7c8ec288affcf79f02dcb02bbdd3a27a3f390f,X,,,,X,,,,,
0x729250be25dc878dd400bf5bef702de77c83493e,X,,X,X,X,,,,,
0x1452a8c4745001cda8a5920b773cbd58b1d29b43,X,,,,X,,,,,
0x92265efa8232e8184f476554d51bc03655e5d206,X,,,,,,,,,
0xe32f5788e7e4425969a794a3ff72b25938c26225,X,,,,,,,,,
0xed1fc097b5b9b007d40502e08aa0cddf477aaeaa,X,,,,,,,,,
0xda50beb6279f1b18e7fa5e061483d0dceb2af064,X,,,,,,,,,
0x3d4b1e9fa533548b74118bb76d11b752ab5fe150,X,,,,X,,,,,
0xe80efd4ba1e683dcb681715eefdfa741b99828e8,X,,,,,,,,,X
0x1ac53eb09db2fdb5ea0aceef42a5c25e8399ade7,X,,,,,,,,,X
0x31d0f76eef0630e48029d95f5317ae57fd667ee1,X,,,,,,,,,
0x94d6196ea1547b27b5676ce67c10f8fb83fe3f5f,X,,,,,,,,,
0xabff1e9cfa87ee14fee544c64957392852d9113d,X,,,,X,,,,,
0xdd65335fdfcec4474f5f13aec96ce079fa1895d4,X,,,,,,,,,
0x5cf86a68496a08af13ff1c602bc5ce691601dcde,X,,X,,,,,,,
0x4d6822ff2c24d9ca2ace6be9b83fdd52b0004d12,X,,,,,,,,,
0xae256cd2d13353e549d09aea8d4105c8d1cc09d8,X,,,,,,,,,
0xf279152ca88c2e6620f85c59df6fcde9d43ce386,X,,X,X,X,,,,,
0x682e35f8796a255a4436396ac31575221e881578,X,,,,X,,,,,X
0x68cd534771f676677f714f26ee47a7dce0ef01c9,X,,,,X,,,,,
0x5c743a7dc2edbfefee3b9eadecf2c37fabd638d9,X,,,,,,,,,
0xf701e2f078f863efd2e2bd0d6c4d4fbb53d90485,X,,X,X,,,,,,
0x3e63036d5f182d44356a94ec5a20743882b24b86,X,,,,,,,,,
0xbe9181f1741a333756ef6d819f7adb7e201ed429,X,,,,,,,,,
0xec6ba66a6d19fc4b6e123fbdba59e310d6d767e0,X,,X,X,,,,,,
0x2809c14c910f112a1288050afd45dbeaf96a89f6,X,,,,,,,,,
0xe44ec3ae966a874a40aae7e973ed3071d59a6d55,X,,,,,,,,,X
0x34f845773d4364999f2fbc7aa26abdee902cbb46,X,,,,,,,,,X
0xb60faafebe119db715c6b23cc3960b758e64caaf,X,,,,,,,,,
0x3b9988e318874e5a2fbf32e3521951756d4f43af,X,,,X,X,,,,,
0xa34551ceb662aeee115d40482a0fd2d97e6f2050,X,,X,,,,,,,
0x086d04193acd9874b2b80f998bb96a77ad19ced7,X,,,,X,,,,,
0xdbc0a1b0f07f3bb0d9ae65f71ad7acd165986ae4,X,,,,,,,,,
0x13e9b3ea5159ca4dccef9dc2907974027d663703,X,,X,,X,,,,,
0x8e294ea62c8d943d9ff6ec25a340278b157f8cca,X,,X,,,,,,,
0x3f8b39907de69bf3636189a0382958d9b2f413f3,X,,,,,,,,,
0xc493b2186818a6e4313c5d1ad724d53905570754,X,,X,X,,,,,,
0x700a023f22c4a4fbfdeed3d00b951ef8ea932be1,X,,X,X,X,,,,,
0x7cb0573fe67801ebf4c36b86f09787c5efd44e6b,X,,,,,,,,,
