Address	valid	invalid	pen	Attesting	Slashed	Exited	Tot	Tag
0x8d99F8b2710e6A3B94d9bf465A98E5273069aCBd	418	0	0	418	0	0	418	
0xFdbBfB0Fe2986672af97Eca0e797D76A0bbF35c9	395	0	0	334	0	61	395	
0x16F95607762AF0f0ca7E11c0889652Cb2e465898	394	0	0	393	0	1	394	
0x4d8D987591573E453C79258Bf23F0041215E0c0c	388	0	0	388	0	0	388	
0x4d8D987591573E453C79258Bf23F0041215E0c0c	388	0	0	388	0	0	388	
0x6F2e23cdCA573935b1a248965f4C3063CCE6dAF6	384	0	0	384	0	0	384	
0x01FfE3F42ea3AaE97F56b6C8aDe9e4149a750a3A	384	0	0	384	0	0	384	
0xE618050F1adb1F6bb7d03A3484346AC42F3E71EE	359	0	0	0	0	359	359	
0x79608E823D07446525646E9317B07985d185f3d1	346	0	0	198	0	148	346	
0x61F4aE313592714f0557E0B4edd1641ACB394422	346	0	0	345	0	1	346	
0x4D0900710f5f5b75D16E5fE090036f4a037f4212	341	0	0	0	0	341	341	
0x8CC0c1FCFb0FFBBbfbE35ef4d363C91dE4594967	310	0	0	306	0	4	310	
0xd015853Ec31b0918e321Dca0247f4bd4Cb47aaF4	301	0	0	0	0	300	300	
0xD7Af9993eC609C1f4a367ae4616016074c3582e1	301	0	0	301	0	0	301	
0x727334D71c7A70f8B611Cb32Da399048B4d27293	300	0	0	0	0	300	300	
0xfF1096d83E15c2cE04dB158Cc431361f25F69Bc1	300	0	0	300	0	0	300	
0x8d6A69119aE7d808CbaAaE2968FA7dfe0E99b1D8	292	0	0	106	0	186	292	
0xEfAAA5F6B0f8DeccdF54Ad2aDAd23585502586A4	290	0	0	0	0	290	290	
0x1f89161A48CD6A29506DBB4a2f6C0747e87eF176	288	0	0	288	0	0	288	
0xf9c82A4b7DBe4168B9Ec1a1a8F914117e7cF297E	281	0	0	192	0	89	281	
0x2658C39707BE381BBf8943e3D38761931Afa1d2B	280	0	0	280	0	0	280	
0xE2B52Fc1ad49B93F85C45315EcbAd740f17B0e8E	274	0	0	274	0	0	274	
0x71226c538679eD4A72E803b3E2C93aD7403DA094	272	0	0	0	0	272	272	
0xcE450A3Ffa08322c597448d6C2387647ceb1C351	269	0	0	269	0	0	269	
0xEa412f90700Ca130b8f3054941D8639D67C31603	265	0	0	187	0	61	248	
0x89De12B45B4AAC8c2841fa29C03EE3BFaB1DE462	263	0	0	261	0	0	261	
0x7CA19667f10d8642Cd9C9834fAE340DB58aC925f	260	0	0	238	0	22	260	
0x78E87757861185Ec5e8C0EF6BF0C69Fa7832df6C	260	0	0	250	0	10	260	
0xF8a5A74066a16Ab59a893a116bF12debf0731C69	256	0	0	256	0	0	256	
0xC18b967C81F068ba19b80937ae43ADe50C15ac36	256	0	0	256	0	0	256	
0x62A6c60de7ecec9FD12CBd01A51A61530a41de91	256	0	0	256	0	0	256	
0xE000DA5284E1C6c82379Ec473d386f3722C47E7C	256	0	0	220	0	0	220	
0xA5C2D6609C274BF55116118210467AfC63767A75	256	0	0	256	0	0	256	
0x003981B879FfdD1139D5139678746906e167E904	256	0	0	256	0	0	256	
0x03DCD0B7B9908e9896C43373d562F3B1dA5D534e	250	0	0	250	0	0	250	
0x0066eA8811856575B8D442387b10b77B1916Ecf9	250	0	0	250	0	0	250	
0x2ef91258Be2BF4C9EaFCe89F37611F87787023E8	250	0	0	250	0	0	250	
0xB8Adfee40e1DEfBB8314d3FeC3C622Be2F624901	246	0	0	246	0	0	246	
0x67228C5FA8203d8981b1e166e689aE3fd9Cd4B4a	246	0	0	136	0	110	246	
0x4aF70fAF039AE6B991cAEc119aaF3e90963A4E56	236	0	0	0	0	108	108	
0x63E3B82798AD78062b88eb4605D520e328FE38b8	232	0	0	232	0	0	232	
0xc62B62d9F2893710b04D31E51648f313644144eB	225	0	0	225	0	0	225	
