Sybil ID,Main NO ID,Operator ID,Address,Reason
sybil-1,224,294,0xd1E90d1E906679Ed7fF4E4aC5ae5c3821ef82310,Large-scale sybil
sybil-1,224,295,0x5555555555552d603C38436d6B20793941C0cBf8,Large-scale sybil
sybil-1,224,296,0xDddDDDdddD5A89eEf694FFdE02f7f4D31D699eCE,Large-scale sybil
sybil-1,224,297,0xDdDDddDdd1EA11D8E16851c645D78FB2afF754eF,Large-scale sybil
sybil-1,224,298,0xd1E90d1E90baaf82611774730e7B559AE04e92AD,Large-scale sybil
sybil-1,224,299,0x888888888897dfb0b65F7A5D4F4B1e7B9A19383C,Large-scale sybil
sybil-1,224,300,0x777777777651FE0d0A70b14c4dCfB14B8961116c,Large-scale sybil
sybil-1,224,301,0xDDdDDdDDDD3ECC1c0f329034837945d35206ACF1,Large-scale sybil
sybil-1,224,302,0xdDdDDdDDDd8377d92510ccf96456DD1A71b5A0ae,Large-scale sybil
sybil-1,224,303,0xe1FE1fE1fE1fd4F15BFf48E05D13588774E0D130,Large-scale sybil
sybil-1,224,304,0x88888888881d9Dd7efdD1Cb70EdaF8c18683CdD3,Large-scale sybil
sybil-1,224,305,0xd1e90d1E90EccF749B1353Afc63C6dE11Be7A3DC,Large-scale sybil
sybil-1,224,306,0xDdDddDDdDddDB01e39F66da88A0625e441e7620b,Large-scale sybil
sybil-1,224,307,0x111111111111242f40b8fF91e3591a846Fae677B,Large-scale sybil
sybil-1,224,308,0x1337313376dF15B3BC3a58d8471080eA63793018,Large-scale sybil
sybil-1,224,309,0x9999999993E9bdd23F6e96eaf646A4e11F112502,Large-scale sybil
sybil-1,224,310,0xAce0FBA5E9b16B10E7438DB336b1B59e570DF171,Large-scale sybil
sybil-1,224,311,0x111111111118649F2726A63e1Ad5aEa728EaA857,Large-scale sybil
sybil-1,224,312,0xd1E90D1E90526d7013BD32A95c781cA787bba358,Large-scale sybil
sybil-1,224,313,0xeeeeeEeee679CbD107e8be3f6Cb8C3C7A46694bd,Large-scale sybil
sybil-1,224,314,0x111111111119534a5009a092Db1581042c072220,Large-scale sybil
sybil-1,224,315,0x3333333333388B619b866A5A9897c233250DdDf4,Large-scale sybil
sybil-1,224,316,0x999999999947a4eD5479B90E1E398083Dd42057d,Large-scale sybil
sybil-1,224,317,0x333333333A952Fb3E9C6174E22b9d90971F9DAFA,Large-scale sybil
sybil-1,224,318,0x0000000000B41EE0B06ef0309E978cFD3e2C0dA6,Large-scale sybil
sybil-1,224,319,0x77777777719Aa51c008DA17f01B9B65541e06a07,Large-scale sybil
sybil-1,224,320,0x333333333331E278c99c9A00acf191075f5f7CC9,Large-scale sybil
sybil-1,224,321,0x1111111111e3fA8b6728D6657627d3e1000f90c7,Large-scale sybil
sybil-1,224,322,0xdDDdDdDDDddd3486E3B4bc89b05f32C8Fe46397D,Large-scale sybil
sybil-1,224,323,0xD1e90d1e9073Cb59f2ef8640aF785c67C09c920B,Large-scale sybil
sybil-1,224,324,0xb00B5b00B5cB6712e09065C66cCe4391E4eCc75c,Large-scale sybil
sybil-1,224,325,0xD1e90D1E90C018A6423aC645DEE5AbA612e67ac9,Large-scale sybil
sybil-1,224,326,0x9999999999629325e7FBB761C044adCDF317630A,Large-scale sybil
sybil-1,224,327,0x55555555555F2A4d88523460F13268b8bD2aE17B,Large-scale sybil
sybil-1,224,328,0xDDdDdDddDdDdd1522707C8B9EdbE6fE982E9c331,Large-scale sybil
sybil-1,224,329,0xaAAAaAAAaa1034A8597Cb74a2975B7B02532b5bf,Large-scale sybil
sybil-1,224,330,0xaCe0FbA5e456205c79CB87B223F414FBc14bA92C,Large-scale sybil
sybil-1,224,331,0xAaaAAAAaaaA0bC396A45987488EF722d3cDa89d0,Large-scale sybil
sybil-1,224,332,0x00000000000Cb7c43Fe70c8384f509ab0EA29BF8,Large-scale sybil
sybil-1,224,333,0x00000000000a6F475714c11fC92153AbAf7954A5,Large-scale sybil
sybil-1,224,334,0x5555555552A67306851B141e6799660113B0ca37,Large-scale sybil
sybil-1,224,335,0xaAaaAAaaAE9C6305a144C4580f310638Df6CDC87,Large-scale sybil
sybil-1,224,336,0x777777777761B3d1319e34Ec4540Ee0e5B4Bea19,Large-scale sybil
sybil-1,224,337,0xd1E90d1E906DF3Ca380dF1920bf8D874cF4bb777,Large-scale sybil
sybil-1,224,338,0x777777777770a54846cc56fE8cB0fe94b505fc8e,Large-scale sybil
sybil-1,224,339,0x0000000009BcA430B4942CcA6d83a683Df6FC296,Large-scale sybil
sybil-1,224,340,0xd1e90d1E9013C1dcC0534768bD9dAe6ed5290FE7,Large-scale sybil
sybil-1,224,342,0xeeeEEEEEe26A309f4d07bCaD8E0EF24F8f71fA42,Large-scale sybil
sybil-1,224,343,0xDDDDDddDd9f62a56d7eE6aDe6f81E8e97715e3F3,Large-scale sybil
sybil-1,224,344,0x1111111110b34D955012B7e1Cd2423DDC38Bce84,Large-scale sybil
sybil-1,224,345,0x5555555555576A3565b3B6bAF2c88d911Bff1757,Large-scale sybil
sybil-1,224,346,0xD1E90d1e90e7d86f6FA5b616268C86d8A9aAA64c,Large-scale sybil
sybil-1,224,347,0x0000000000FA34c427fC04810ade9063b022AEB5,Large-scale sybil
sybil-1,224,348,0xEEEeEeeEEEEEAc475C6d491175B9041BEA161901,Large-scale sybil
sybil-1,224,349,0xd1E90d1E903BbAa3c4eeF72B6D909d8475040D24,Large-scale sybil
sybil-1,224,350,0x900Db00b5F2f594abA12E51EDC938987963DE29C,Large-scale sybil
sybil-1,224,351,0xACEAcEACEAcedA522491d5bAb78BcfCe0f8bfC0a,Large-scale sybil
sybil-1,224,352,0x00000000000C38F71A21fF130EBFbbe57bc10220,Large-scale sybil
sybil-1,224,353,0x111111111118A98c2e6580A0e7D07850053576FA,Large-scale sybil
sybil-1,224,354,0x11111111111A9cCcf1502FD341cE596368107489,Large-scale sybil
sybil-1,224,355,0x0000000000090CF02bb25726B56819F0a6Bb8259,Large-scale sybil
sybil-1,224,356,0xAAaaAAAaAAAaC5D0316aA9c2202c4EaD9048A891,Large-scale sybil
sybil-1,224,357,0x9999999991EF8E126C1652CcA64F5c616A4A7d22,Large-scale sybil
sybil-1,224,358,0xAAAAaaaAAaa98e7e85F562846530fDcB70ea23D1,Large-scale sybil
sybil-1,224,359,0x000000000008d0bAe1c0acCcA8886b5CF844F31F,Large-scale sybil
