Address,Points
0x0f220f4a6bb60fbd3659d67c31787dc135d53ebd,1
0x0f638c2cc65d72c1aecd056d1fda2918126fbdfe,1
0x0f87b1797f4ab5c7811213702de1c966337564b9,5
0x0f9731ed2c2c2eb2ff39ff018ed2e01fc948844b,6
0x0fa4bd459a829151354589679b074d8c1738062f,15
0x0fac9b94b2e6e5ca32e524a1c8b02749b3957497,10
0x0fed93a9a479a98ff16e3f77e18ad595f61e81f0,1
0x100d2f5d95815601194cd508449961071d6c2a0e,5
0x103deeed9e3f43db140165ef53c61cd6fb1a8abe,5
0x1067a3bd847638b62e848ceb4e4c5f485dd1aad3,1
0x1094f3fad8dd27f7f99ba1ba8e3601bbcaebf81a,2
0x10f0506d77d92096b90101b560abdf01c12ec976,5
0x111111123a125c288b24f89be1223b0ab2f1ab8d,5
0x113724ed2635eb266b10a4042fad13b5a92b4c2b,1
0x11612e5e8479a47c3c1f0750236062be9ce0bf65,5
0x1177624405e2d93554445e132a1d6fb572bd5c26,14
0x11c4ad0a697df0565a652f72b81af1847f9f4895,5
0x11f600e4f6afdffa4e5c92d596433e789080cc54,1
0x1225588117f705b36175f440c4bdff61319f9847,6
0x12afc6451f21feddeb1f732d6baa02684c258d9c,20
0x12dbda36992a9f67f23121cad87c99529b3e6616,1
0x12f10eb7d5f9775a7e508406ce4ae566b2b04f7e,4
0x1353f76e1e0ae32312f07e4089e2ea7ce6c2f3b1,12
0x1359c843a8a2f70c4958588adc9b1020741bf78b,5
0x137dd253d5c257f105a9dcdba64e207ced982746,5
0x138275f26472e54c022b78178497090cec57e89a,11
0x13c2f1b2f9220e4ea1443bdd606640fcd1745d26,4
0x13daf15e66e6214a1645413f3d858d3947f5900a,15
0x13e9b3ea5159ca4dccef9dc2907974027d663703,10
0x143125937952fc37763cd41d44a6f436d2510952,60
0x144d38e1da927980a3eed1372b9b4e0d5b1385f2,1
0x1452a8c4745001cda8a5920b773cbd58b1d29b43,12
0x14672e795bf9d4f16391960e533c08d450b63ce9,3
0x14e8bffe701db8ae9146defc4d9afe61b5bf3d32,6
0x14ecccb5f1b99bb6d2eeb6fa7c3f7acb91a0316a,6
0x1514566e164e27edc0d47f18ed653620b4fc7f5f,7
0x15888938b2347b99df2c08f5f2f4dd6e0c747b70,3
0x162f8d603252b28109f2253a7649d5a631449983,1
0x167712993b60d89a9b1c4b3b1497a2c0e737a066,2
0x1689083a4ad6da28a28605dc200ca45e6181b70c,3
0x168df16960a1a1feb1dd8dd8bb47d200c14fe451,5
0x16958660243e9be694a0719002fb6cb5bb2709f0,4
0x16b03389be83f26c9f1a023dce0f9eda58a5708a,10
0x16e16370ec9f5df2327dc4ec29de25859378495d,2
0x16ed92288b03bc78317b698402606c011d3e7b6d,5
0x1718ab2dde1a5869ba252cba5e1b15531bb4cbc1,6
0x17366cae2b9c6c3055e9e3c78936a69006be5409,10
0x17369c615d003abb06a8c1d84b79ffea057cfd82,5
0x173c31d75c79d53a1b1ce7aaba50c24575114aae,1
0x17817b1a7ca41621f11be3f5df5deefff595fa2b,1
0x17a6f204b2ff43cc4954d8cfcbca62e440f91ac8,1
0x17a8300d71944f98ec9178125f6d34d2c1144859,4
0x17ae15bfba6c7e938a6da3932750b47d205e8245,1
0x17f4f11d9cfe0cd2d45094410b938862bc4ebe50,10
0x17fad4ab544d56d8551859252c8eee82706dd61b,5
0x1819eba4f13d2693756d38acf8d3e9aabbd8fdb5,5
0x18313412fdde30f42c385133907a9c22fdd7fbf8,21
0x187383fa8eafa16252e1770de72df6c9fbca7643,3
0x1888fa494f7b1214b29f726e316cf83508318b88,5
0x18c674f655594f15c490aeeac737895b7903e37f,1
0x18eccd7a9a4d111f5d9d3044bf77a20b064822ac,1
0x19b30a77abcce9d649f2d72a51d5918fbe98b7ff,3
0x19dc3061c2243a34c9e54deccbabecf784ce0682,10
0x1a114e66a5557bc1f858d2a5666f7117d075be3d,1
0x1a155ecee2582697c7e9313ebd577167f12ba5a1,5
0x1a54cd829f9aef8318ac4d04c5baa5aa8e302f2d,5
0x1a71e375cd2c9a63aaf88bca18c6447842b168e2,1
0x1abe2fa6908f74863bb857029e353ca3997feefa,4
0x1ac53eb09db2fdb5ea0aceef42a5c25e8399ade7,25
0x1ac5d648599b9767b1a1bd13eb8bf082b4c157c2,3
0x1af4be553ca2bdc2c912b95691c9ef3afa582109,1
0x1b1627b632f774b4b95cfe28ec03d8f9c5847f0b,10
0x1b3a78cf9b4264eedaa23c6292a0589d6d3a3b12,5
0x1bfca38a4c458f8db18560249bf54de0c89eec23,3
0x1c029cb5463e3962b1ea93f9320bd2822ef33a74,1
0x1c1a52437d67611cda4990c123cff88d4ff019aa,1
0x1c8c23d270e56177d55a2cb0b90775e89b936f3d,10
0x1ca4fd83fc075bed03300a7c889a6b0c38284ce3,6
0x1cd0b961d6b9c769b882acd4ddd92a557d56e15f,5
0x1d030d76f5a6505a64c032cf6b350c379d52ae60,5
0x1d1ad234615665c05a9a3a74cc369b3edff677c5,10
0x1d2ce05cd6335691597925cf6d1ee1883ba210a2,10
0x1dbf5d59f1c59f4e432d547096110a0e0c457562,5
0x1df65069283f3e3924139e4d26820df97ffd1fc0,5
0x1e5b3eff3130704ed6fa224d71c1e1df2de885c0,11
0x1ea60eaa2883173e2f8d6b7b025fce33ebc08738,6
0x1eae1d8d060ddd478c93e0ab4a848d482b8b414a,10
0x1eaf931aabbb02ca8a416040cf5b35c73fff2a8a,6
0x1ef6faf9f02ebf005876a3e55631a29d9c156795,5
0x1f70a6d6f92f61ead83c5a08d3dab3523ebdf82d,3
0x1f957812d36f8043d9cfe47ca0e3606e79f66ccf,1
0x1fabd3f671a5202bf83b30ec9ecc14cb8e8654e7,10
0x1fd215a5777228ada8034a4a22dec11590dfa4bd,5
0x200874a1fa654bf7e9794af9e97e53ed07b94dc3,1
0x20127d85fe03a615af605404826e930c7a46d738,10
0x202a78ad08d297cca315ea19661fd6e70771b449,1
0x20595d6f330ca93995d6376b2fdb28cbeba01217,28
0x206096571603cd49b61999f71ede6e6cb5540cb8,5
0x20674d7f21863b00bc5b0400d7fefbd40f048a2c,5
0x20df962d2ab9ade7a1535b4e2654e44205df2c1e,6
0x20e89c522b2c465cc2d342f1e73c80d610198d52,20
0x20f43ca7a0168476ea1c64d0cdbd02bb8cc5ca89,10
0x20f87edd6326496fa3a3784ec0e9a71573e32ffc,4
0x214368b48f3542d7bc03665ce5f8f357de9358c0,4
0x2160404dfb0fe854c48ffc1a9252436870c9ac94,10
0x2182e01627dc99e5acb0ea04206e9990c69cebb8,10
0x2190cd71fddc2c131434ff89b26ce09a9890d59e,10
0x21c058e35795494512962fbe03083126107034a4,1
0x2206c129e9828d5cfdd8721d5f4c23fb34249438,10
0x224d2b83ca91017286173366f3a7acd5342e7198,5
0x2264e05c4fcb89eeb0e35a19324d7f6ccf038db7,6
0x226528855e4d1e3778bb9c533c0a7e7199c5de5e,4
0x22785c33b310145c607306451dd9998be5ffb3c4,10
0x227878fbb6b7ebcb472f78989d7accaf6618c97b,1
0x22ba5cafb5e26e6fe51f330294209034013a5a4c,1
0x22d134851ddee8d3dd64d71b092986b3cc7d26d8,6
0x22d49e8f68af0e1a3e844fc1f2a6f4558a6f13df,3
0x22e6496d12b4f210560bf12ee736db47b378fec9,1
0x2300f68064bfaafa381cd36f2695cdfeaac09231,5
0x232c412d3613d5915fc1ebf6eb8d14f11b6a260d,5
0x234415043b1fff486e8315a14f4bcd4af1e7513c,6
0x23461e24f1d7601a674ab672adee0b4459302214,10
0x235eec62ac3a1318b94084f5860b2b95f41924c6,5
0x2392934a14d8080d81366bcb6527ed6056e08674,5
0x23b9396cdc23e780eb671bdac52ab4b60a9365f6,2
0x23c737d68ce4e0431988d2e60ea6f6e0e9346034,1
0x23fb807e4881f629fcec79cbe1ec95eeb1b8aa76,4
0x2404d0170536a843d7fd024c10a4059ee4293915,8
0x241a35380ddb4a4545766c2b8dfa33b322998a75,5
0x2433f2d9e481a6471593a2aba1978275bd9808e2,1
0x2462c818b7f8a075babc1d1188cb127c8121b2d3,38
0x24b8fece79455e96d208e221d7b0468e322c958f,1
0x24ce91e076a07306728b26ea20782e6bedb555cb,10
0x24cfeb53a951185ed993f276b50021025a25dae8,5
0x24e045efaaaa10f72fa6104792ba8b5c2a9209ff,6
0x24e13eda54b385947775d51b64869b76f515e7a6,4
0x24fe24b5abdc9917f33469ff2d9b1ff01803c87a,5
0x24fea70df0365cb59df687dc0ef724b3469ea9e1,4
0x25311b640d6f8a743b36e1d6f0ce87a5df237fbc,5
0x25916caa0db559bc7f21850cfe678dc9f273a8d7,17
0x25d542b48e547a06a8734f985c5f4256538a0cb9,1
0x261d7c721668fd4fe0415f6a5b437839b547417e,1
0x261f436676cfa456a8f086a850160e97550aea9c,21
0x265f4be9f8f2d40075a11c28a9501fd1b3614f28,1
0x267a6522bffc76d61a633d231d9ef84059bc3e27,3
0x269ebeee083ce6f70486a67dc8036a889bf322a9,12
0x26b0bb09478a8423b53b2854deffb8a61a889725,10
0x26da9bebb0372ce4dee24bc3d63c5192b22e767a,10
0x2702314be388847a34f0803144d82edc0dd99aff,4
0x2709117b21a952c1349630f69edeb87fc69ec036,5
0x271d85d2ceaa91e979629f4d30173f115b2767fe,5
0x274829c52bba894d62a4931b46b76cfe0606ac26,1
0x276e69cdd336001afef07075859a93078496c3c1,20
0x2775204be62e5a47de09a3ecd7e8eb40e27dc653,15
0x27a1b27b2e8bfdd57a3049415dcf6a63ac11667f,40
