Address,VoteCount
0x146424a93270c188328ee5ab732cc586e8a9e535,24
0x14bdfda5b5b829f14332a52c15129386284ce36a,14
0x152b8c153e4f18bfe1cb3f2eaa563813c758e279,1
0x154b0b91d55759936f8189205c821a63a9433d58,4
0x15a4c23e7e405cc6794ae10782042aea9d7ea959,5
0x15d33e4a46c9b571705098d1015cc007e677b4b7,1
0x1606e06059e53a1926039b1b3ca0d85709e47c90,2
0x1697dd4cc14f4d6851709308a8bb435290d7baec,10
0x16d9d13bfdee5012b5ce81a2e5e621a3362b94b9,1
0x172e08e84b721f37ee91b70f8dbfc522394b1968,1
0x176de39714ab04c1bd72dc9242a19464b4a22e61,1
0x1778e0c68e13c6730091b576ece9a1da05f8488e,1
0x177ddc2a99214be2f61d449de756007cc5e5e405,2
0x17ccdda3914ab73f480feea2eca6381c2ce6d4b9,2
0x17fe4ed21e35b5ad800179b0c20447ca3f5280db,2
0x18acca7118dfc5bd7ac156f4892e9e0fcffb3a1a,7
0x18b32e7ecb32643ff8b9eba55feef62ef674abd8,1
0x18b4bb114165a9949063d0f5ba364d1f9e812adc,1
0x196a2a9a22c2fd8f5107e97df9ad14a23e81982b,4
0x19a5f07b435d0ce9c4043be1703cea83064f8cd3,6
0x19cf388796c31fa7a583270d82659ecd2b4fd490,2
0x1a18f43ba8e0c4e10d598241dc1a6488f7b6606c,2
0x1a24a46b50547436216a51fbff4323bb1e8c392d,15
0x1a2fe0ee6ba612cc3cd5c5cb75d458b6b04e1c0a,1
0x1a91c0df156a5f38aec0813d055aa0184fc47826,4
0x1ac5d648599b9767b1a1bd13eb8bf082b4c157c2,1
0x1af6b460f55b023c9f72f1b44d398edd363be4b0,3
0x1b11fedf3bd0a9a2bbb70300e6e4f00633b72a4a,12
0x1b1ed71dc34e47874a31f60fe901b80fcef91e94,1
0x1b3374067ed198c5cd38b6b2195c159f7ed30dbf,1
0x1ba6b82641c77ab1fc7bc734c5c3628199a8967d,1
0x1c3ac1eff28301c1490d329292c01dcf9082576a,1
0x1d71d58ac700a0b9447440d78789a1dee16eb6b0,11
0x1daef601e5ce256bc533fb420e87e99993b9092b,5
0x1e8ee48d0621289297693fc98914da2efdce1477,1
0x1eb322c016815ee5b29c071586c1b75be5934576,8
0x1ee24ee7a5d608a76a462c211093f7f11a62dade,9
0x1f0a196c0872549b22fd4bc7e8d223759575ed1e,1
0x1f27af0bad8a2c7c38e68f548716e4ac003a2f17,1
0x1f3813fe7ace2a33585f1438215c7f42832fb7b3,14
0x1f4001207df87abb65df00b3b733258871ac9467,1
0x1f5504d362311d17c5e00dd2396f4384b898ea28,1
0x1f62e517b74904fb221c3eec6cec954473a89514,1
0x1f76a6bf03429480472b3695e08689219ce15ed6,81
0x1f7bde66819058393461bbee98c9a146a85ea791,7
0x1fa1cff20a6ee8126c850c791f40e99a0d1a1f9b,13
0x202c4a0c28293c279af6312bf8d2603bbb533a88,12
0x2057cbf2332ab2697a52b8dbc85756535d577e32,6
0x2068d14ee50772dd6e89c6f64f32adad0cc936ef,2
0x2083370bcf334d50ca7c6e06e969481365b92e21,1
