Address,VoteCount
0x256993d0dfd61184aa0a389b541ccf1cd186fe25,3
0x257b34f4bfbe2aed96610df91fa29713585a9830,2
0x25953c127efd1e15f4d2be82b753d49b12d626d7,2
0x26551631b8cbab36006904de04dfd10bf1163da3,28
0x269856ff6ce6ce4c0c179f4b042d34144ae82d4e,16
0x2746b9444de79568ec87fc7af45748bcad970b5e,2
0x2809c14c910f112a1288050afd45dbeaf96a89f6,2
0x28515c2e35d97db1d8ecd9205ed6304e38f50415,9
0x28562fbe6d078d2526a0a8d1489245ff74fca7eb,6
0x29b543692067e524133bf75b77c1172818c02c2f,7
0x2b1d879b5e102e60166202de79537b48e2f18a42,2
0x2c4c5f0b239160a40b71e7c92bb5bafc0316df4f,2
0x2c5f7ec0ace0c333e7d6c851bd8a6d3530826219,2
0x2caa999cdb7f67d1ebb2901e2fe2b74e540a9529,26
0x2cfaced1bc7b2b61692bdbea50bad19981dcc41e,13
0x2d29c09ef733f48fe10074a2dd7c38b50a9d4d89,25
0x2ef259761dc63c0f043e35901f132b1e7b1bca68,9
0x2f4d62ac8e9e5ea12c397f15ea41eb0ba86f63f4,6
0x2f968e57fd1daa04e1e707fea18b479c8771391f,14
0x2fb07bb03427f8273d2590a022af47038da767a3,2
0x2fcb2309309ef01bfd126e4b0f5ac84e46c63b76,1
0x303949a9f68c160ca3285bd5aa411594b78e9fa1,2
0x3053dabb9761b3af561150d62ffd18b1019940fc,11
0x307d792d792d6251dc7c1eddb738626956790d02,2
0x30f15de9dfa8acc9971d433aa3844d6e5daf0540,1
0x31e18739ad2d978344c1267377d194a3431e6d05,35
0x31f02e88bd6110723e767af9e7186e61fc9e88f8,2
0x3217b819ea2d25f1982bae5dd9c8fe4c6d546bfc,45
0x32254b28f793cc18b3575c86c61fe3d7421cbbef,9
0x32b63d9d6032160c8d4a9216e8d6c9b4aeeb65e7,1
0x331faccc525e1a984bfef82d419c556ecc24946f,6
0x332356e5508ea94faccbf85ff4a2007b3f540693,7
0x33a4c0070384725dbdf57edf3d179f6891124517,1
0x33c4c38e96337172d3de39df82060de26b638c4b,17
0x33f2a71b738481ba44022b374f532829e1bd0319,17
0x34a7df36e5a098dea126072661fe09958f72f8d5,1
0x35226e78809a5dae4562b0b1fc4cf96cdb6a01a8,13
0x368e4bc0ae0612fb5d67081307dc6b4de6b32379,1
0x370766ccd2d52ba56fd791e686b15162b789c62b,12
0x3767c879235dfe3b33f37a3c0c0226afcb6f118a,3
0x380507ac9fb6b071464822bc5e36abaf63a60636,4
0x394070a6d1cb8e1848321cf20b7b7a640d39a5fc,3
0x3983083d7fa05f66b175f282ffd83e0d861c777a,5
0x39f8b8334005db22fd31745d43125572867e000d,21
0x39fe310c68c914af8aa4e965895e47fdc45156b6,20
0x3b62afb0da3340690a2c88c5358d0221cd69264c,2
0x3ba21b6477f48273f41d241aa3722ffb9e07e247,1
0x3ba691ff2742a8dc39d564eb845b8a8ba71daf27,30
0x3bc700f0d6b56bcabf8299ed336c71dfe45d264e,11
0x3beb576ecb050390ee763971a159325c32c860d2,8
0x3c371dcf8c23f6e1ed3ec597272e8ad86795804a,11
0x3c4600143b354889b7320d783c1da1dc2eed353f,3
0x3c840360246fa952e3437f47dbd8001046471ea3,2
0x3d56d86a60b92132b37f226ea5a23f84c805ce29,6
0x3d5a107f7a5bcec8734c49ed54d41bc6f93eb97f,56
0x3dd48ad861f0b77d1312f9c95a13e52871ca95e0,11
0x3ddc7d25c7a1dc381443e491bbf1caa8928a05b0,4
0x3f1120a121292b392a082e72a8264af1f12ae533,5
0x3f6364f662b0127a3430bb9a9fc16b602da9a188,1
0x3fb19771947072629c8eee7995a2ef23b72d4c8a,1
0x41339d9825963515e5705df8d3b0ea98105ebb1c,5
0x4203b914a3b3803ff49a0cbe771c037505baf6c7,1
0x42e6dd8d517abb3e4f6611ca53a8d1243c183fb0,17
0x43c18040ee119b70410f96ff8d7491de1bf2c44d,1
0x442dec59ed911f4b944b1c405f6566b8daab44af,1
0x447f95026107aaed7472a0470931e689f51e0e42,1
0x44a67d41ff717887802789f06882a98291828e48,4
0x4554a1fc1d832f9a153c5868009a4246267b461c,9
0x4577cef6335404b8a4c4cc978c02e80a14e374c9,9
0x45fc84d8fb0154ca4b7157ab5830003df7c11c19,2
0x47287ea89d2c5e1e298d47cc472d46c56e89931a,12
0x474fbad9636fdee752a539660f2b25cc68dff467,1
0x487c6480c33f32435f99cfa4b1e09c0d4e4165f7,1
0x48a451c0689e40e4ef3e1e886788532b9808aad7,1
0x48acf41d10a063f9a6b718b9aad2e2ff5b319ca2,8
0x49f15caddc248933c7b50f3774a5cccd9c4f6cdb,7
0x4a0884079ac2b0a71c93ad0f81e766e2b94faacd,8
0x4a4444f55b000a42a36356bf83aedd49ac2e290b,2
0x4a7c6899cdcb379e284fbfd045462e751da4c7ce,18
0x4a85a81858b6abf37262bdb63516fac3be1a786a,5
0x4b17b32de85aa3636929ac2cc029b95173b2aee5,7
0x4b3122a38be1de174f60e24da84ae1c9ff8549d2,24
0x4b581deda2f2c0650c3dfc506c86a8c140d9f699,2
0x4bf471bf5e821db3d35b2ab365435c8cebe5e982,12
0x4ca8aeb6065f381d2ffc9741145eb47b528c1163,2
0x4cdae02406fe8acd9d92fa514b61340e93709ad3,2
0x4d63af7b7c21d04024abeccdaacd4479a701cbb1,1
0x4e7e83c37c84550d2f240d1e4a24091b1085a0a3,1
0x4f3a7481375c40a793b5feb5b80df7954c7257e5,10
0x4f690f7000791ab7248bd4c9fd165d9e386edfe6,11
0x4fb38531154d566953dd940e5f7556bce9638d7d,1
0x4fbefaf1bff0130945c61603b97d38dd6e21f5cf,3
0x4fd099e2fb16695a5dc38bf64f242acd0ec818a8,9
0x50b06a4037a167073a45ab3cc895c52378b08ba8,1
0x510a7cd4ba40f7b6643f566a5d45ea55f5cd8d0e,40
0x516fca170bfe24bfc54e01f215ef85fe9b5b798a,2
0x52b80433ea762e3d9b5e39e10659e19e3683cc3b,7
0x52d59fc20090cce200138ef2eae879dcd181f0d5,1
0x535d9c211651f69d2a9dd0d68491417e72994c73,25
0x537dfb5f599a3d15c50e2d9270e46b808a52559d,5
0x53a0b13f87257791f6ad5b586135bc2c68e82ceb,3
0x541aa1c1eef7ca719926865e0f89336f7ffc0e05,1
0x542f3867733717f2e2f06b38c0a509f4d2077b57,3
0x544d0876859b33f810a6962f7323e0a3cb43fa10,9
0x54c1530628a67c3ef537f01712b9bb517acdaec2,1
0x54d080572e3c2296247b0601a70017a99850f4e9,18
0x54e5e90a6679314e8339bb1ed74beab5ca19324a,1
0x556fedf2213a31c7ab9f8bc8db5b2254261a5b0b,2
0x55aacae8d697a2f84d80474e3410b2428e0103d1,11
0x55bc991b2edf3ddb4c520b222be4f378418ff0fa,114
0x560f70dcd0d25711ca3643d227c66fdccac9eb7c,27
0x5877022fe1a776e5275ed535b50d83a69634089c,18
0x58a764028350ab15899fdccafffd3940e602ceea,9
0x58c6cd2b53d41d06bfb7d33624d2835c011e61be,2
0x58e6c7ab55aa9012eacca16d1ed4c15795669e1c,11
0x592fd9158d42cc1f6e77db20c15ed7548e906d94,17
0x59f4b446183981caa70a3fad693ca91aca1a25c3,1
0x5ac09356eebffa7bf20d55f1196f3e68b554fcae,2
0x5b1f453d942367d362ecbb315b3ee0c8248a09a5,27
0x5b60117255df27fdd885629c0210d9dd975ff975,1
0x5b655eda7d101f98934392cc3610bcb25b633789,2
0x5b8f0dd7e680200a46b4833fc074d73beb76541b,7
0x5bd186faf1e2117ea0aab4a7ef5c068b3c1eb2b0,7
0x5c9e30def85334e587cf36eb07bdd6a72bf1452d,23
0x5cac404d11250cd241b719487f47e3d720873cfd,1
0x5d91793d4917859bb57a2732ce88c7ad530014d1,1
0x5da33b80eff4290e59a80c22bba88ea1be19eb5f,13
0x5dceca88c237d5ef2ddecdc019b73b97437ffca4,6
0x5dd7d755a6eec006e4cbf8c7a5ff1255289d97ed,1
0x5df9482d02c29286bab462f3e91a58fdef881b53,9
0x5eb3c3d206efff3248cddc386461adedadb32c84,12
0x5f65bc4e713071bb8aa3971d5270365018e966ad,1
0x5f74a2db08d717c94457c550af54548c4241ace9,11
0x5f7d5b4dee0d96d1a891a91ab44b1d126c9a7250,16
0x5fdcb78ca9a1164c13428e5fc9582c8c48dab69f,4
0x6094e1dd925cace56fa501daec02b01a49e55770,8
0x61c808d82a3ac53231750dadc13c777b59310bd9,28
0x6209258a9c319f29dac2ab90feb01c9280962aab,1
0x6210477b3025bf5ea50a35d39e7d2875dc11661c,1
0x624d8d3461871120a35a8c508b7a0be1b8e82cd0,21
0x63baa2ad54390f39d2fc18df98e8c5696b87a0f2,3
0x63ded17a92468166638128740f44ff4ece5409f6,1
0x6409c7cacf86c8d429ce03f4da72543e03498590,3
0x641da10800ec4b226654a52c4cba0ae7191146fb,1
0x653bc74dc32a00c69faa458f34281909d859fc02,16
0x65707ac2958a6c4cd42a0b530f1fa546586f223f,20
0x65bce0e8520c2944e0c8af9f48f3c65b5ead1631,7
0x6617d8cd22bf86c45d9da2ca0b888f01141241cb,12
0x66547c015567e280fc4b1a0d5c886324aa7f6ab2,12
0x666f11f1f481d5a6884174d46c1d121cefaa21fc,4
0x66db664e87bb7f776f9eae950f801412a5086133,17
0x6724f3fbb16f542401bfc42c464ce91b6c31001e,10
0x6778ded57dd3c31f057e90c7c75d420de96858ce,1
0x67c3b6106c51937012f414220a1455df28355ce5,2
0x68d08a754cfd9c2c3040458fc17b352bfb8b24cb,2
0x698048a913c9bf5df4de96542c3cda6bb8d60cf6,1
0x69980d3cb6de4bfa41e67961e5e3ebdec191028d,2
0x699a5d117fd97085d024d41e13a66edbafc380f9,1
0x69f42885079a4c17f186ad16cf3ba05a541f829f,1
0x6ae83eab68b7112bad5afd72d6b24546abff137d,5
0x6af235d2bbe050e6291615b71ca5829658810142,2
0x6bd36310cec97dcb2499fafe285b48a6f8d0fd13,7
0x6cdc4f710baba4607f09bd55829604e1149eecee,13
0x6d764ae282adf065fefd6f8986ea81c6016bce0f,17
0x6e0a1ddad894e6466d405bb73377f0a257278d74,22
0x6eb2c2eb6ab1225fb605ec660a8974c1cca82a4f,1
0x7010faf08803e33a903373ef1f69d0dc955f88b6,1
0x7077c866cdf58d4a65cc02dfe8e3ab03e9b23a0d,23
0x70a613ea53b71abcbd9b32eafb86362a31d5164c,35
0x715b4ecfb92d3e74903bcd26e7da719141cbc2dd,1
0x725ab04f05ebf46c5a0b0462076023c53b26747c,3
0x7526f39c34be653e1253a68fd756a7469c62b18e,3
0x7532a9e3e9475337c8a907428e35932a20959fdf,1
0x75e48a83bc67878271c95d7f23d57e31131e7bdb,7
0x75edccfa5f9d1f1571ddd0fdf02af03a28fcb522,1
0x75fab6d4013157f80e6c845bcd51ae309db9b935,1
0x7603a58a27ef77136398073d0e7453ef0f650633,5
0x76daff4c040bebf9c2e153fd14fe64ac04da8b80,34
0x77b660a58b29df94328503dc97fd175a026ae63b,28
0x78d1a0f002bcec82266627015eed2ca477ed753a,23
0x795a5a6ed365111a62b0d8db7125d8ff95ba0310,1
0x7a16ff8270133f063aab6c9977183d9e72835428,3
0x7b2754fcf4ed61ec204805c2a6d9d20afc71a893,4
0x7b845a5ac2bf1874cd7c86af94f7d38fad8a8ab5,2
0x7bd77405a7c28f50a1010e2185297a25165fd5c6,5
0x7c363e4650ca88e4676f1ce2ac6f2dd50c102198,1
0x7c6413fca3cfdab2da5089eeea94b0c9f4d4dff7,1
0x7d36fc0bd0057506e9937ca912b74c3a71a6091e,8
0x7dc3cc2cb9f0e24f6abb35a5191a228cdc1ff391,1
0x7e3fa86c999f1b11b1fbc8987f56f6c3a90a71a1,1
0x7eb71d68181f2d219eef78d834f6ba97d870ae85,8
0x7ee09c11d6dc9684d6d5a4c6d333e5b9e336bb6c,74
0x7f37cb4e1ff71193175b11c16faa7d97aa851876,2
0x7f9c5e2a5f92ad8870d07b3780f2e350c76b49c1,4
0x814fb844efdb4a7ae33f146fdb061bb51354a8b6,1
0x81a745df888c89893c1b2a359b835898d8a6f128,4
0x81cf158380209d514bb4bc196191b5cbe7d600f1,15
0x82a8439ba037f88bc73c4ccf55292e158a67f125,11
0x82f0b194d9e0c4852fe89377406440585f3dc410,3
0x82fabb86e4e197c825d1cd271e71876b00cb0073,27
0x8304539a5f2744fa1a004eedd36e1481d85b254f,13
0x849d52316331967b6ff1198e5e32a0eb168d039d,12
0x84d99dd4b1b20da8ab55d1534d63271fd1273536,1
0x852819d41469214cea21278c25fc599657edab86,2
0x8592d338229fcc4b1dde0cb4117cd615e4f60017,9
0x85d2976445cb15cb5fcaea37198d5aa778f48a99,9
0x85e78b145eec06225277679c10cf8215d99956ca,2
