Address,Organization
0x5b3a7fe34a66857b7adc92cd26da53a4862e3613,Validation Cloud
0xd42F7E082cE42d89797775B5b328C54df7a22726,Validation Cloud
0x9f6b7F6A018955AE8a98C4f0E6D45f2b3c1D70C4,Node3.Tech
0x72eBc90F0E3457a1fF6B000dC9B1AA152Ee82974,H2O Nodes GmbH
0xda752a97a4972a0fb6b977d75759343096fabb5d,HashKey Cloud
0xde4e7702857b2e3a35fcf1d9a13b444c3ae10672,01node
0xcef78991df18b131eed7bbf91c3c7da2e78338e5,01node
0x98377bEe9E11d913B84B20348296139121756d9b,RockX
0x258cB32B1875168858E57Bb31482054e008d344e,RockX
0x1619FeA9581F747afA42AAADfaB55226482BAD7a,Staking4All
0xF2F1D414CE0222B383bCc4130731bE75cd4ED3B3,Deutsche Telekom
0x64A041c3B1f1BDA2396aDD0c75a4d07124161CBB,Deutsche Telekom
0x19460B640Ea9D3cc0E545d6A86e3FD9ee08872C3,Anonstake
0x76ea331De44f1894feE0d7E260a1B062848b8878,Pier Two
0x35921FB43cB92F5Bfef7cBA1e97Eb5A21Fc2d353,Pier Two
0x56A64476bE449952fB7cD5915c1Ae08d188644c4,StakingCabin
0xD114b0fC5BcD540cd8A6627705103Fb530a4Db16,Luganodes
0x7cb698e45D970fd01150f89E2F1706d4Bf804246,Imperator.co
0xCA7C2DE0c8c7a131Ae091a302f057B810EB3fa49,Liquify LTD
0xe191bb75dCD4c3482124a4eAa945026AF4BbE5a2,Liquify LTD
0xccc01762f2a8168bad948518b6ab65302b23efbc,SNC Holding B.V.
0xf52ec5dfe11d16c13b2c52ae94fd4ec6528996fa,SNC Holding B.V.
0x7F34A4912242635A043bf3424D0538c6aA5Caa2B,Encapsulate.xyz
0x7765Ffd90db97c2473315063203AffCE3998d937,Encapsulate.xyz
0x4f8f32bd0f6773c0ba59c326c88d0412c714dbb5,P-OPS team
0x3eab5a7648db96a28e9d8ddf5356b1e600fb731d,HashKey Cloud
0x4f9bE993e7C24151405CB530426a6BBF26C803A0,P-OPS team
0xD629cD5BB273Ac1a43EC82B8b4e60AA1E91b954f,Node3.Tech
0xFE003428a2c67bFd3B51b6c8D9a0b28fDfD3B8Bf,Swiss Staking
0xD41fB19baFC0949cfDD8C25675Ec4098FEf41CB0,Finoa Consensus Services
0xDDA66164a8385625F3AD469B369A2382e1Ec27E0,Bware Labs (Alchemy)
0xfcE8BE4Cd5093a97649a2c621cDaD40dEc36297D,Bware Labs (Alchemy)
0x6c7C332a090c8D2085857cf3220eA01C6d45a723,StakeWithUs (Nansen)
0x60Aa666bCEF5E9a3393C6B203690Abc2EA76F06B,Nodes.Guru
0x3106c024b3e1D77ac8708bEFd003d230c9a51E31,Nodeinfra
0x4eEb252ea907A972688ec0Bba7d68327E9869285,Ebunker
0x1cCA90788B71bed74e565442Bd81f6a7f5BBDa0e,Cosmostation
0xf08E22139F77506e6AaCD84184D92Cc1b79A77E4,Cosmostation
0x10eE0Af996dA1e206d96402B4F16fA00818083E0,Nethermind
0xdc7EbcF821d4f518d07A17a61f5B1Ac728cAceb9,DSRV
0x5746b903703C1A589cd318bd987A962c37008F49,DSRV
0x14b322A59Ce3C3aD8343b035a3bfAe09f73E8f3B,Chainode Tech
0x2B0AcF7a618CFA4b6704A4d814c8925690cDC04b,Imperator.co
0x060a260e19f7fbd6fdc19028e5a8c90a3aedf980,Stakely
0x4a7670395B62A78A31935FD6f3925e1aAee1b123,Stakely
0xea839fa4c85203d96d989623e335a4d8e86e9f66,HashKey Cloud
0xF2A7ee6bbbF02B696b132184213abCC343dF55c1,Forbole
0xd2dd2307383B392FE36908fB58BC0258eF560B26,Forbole
0x09d9Ee63B46463A3F420fb92bF18f62a91bF5D5d,SNC Holding B.V.
0xF52ec5dFe11D16c13b2C52ae94fd4eC6528996fA,SNC Holding B.V.
0x97435db5C546c83268cB57f2932e5fa343530e11,Luganodes
0xc66E54c24B7B78Ae83219312EB70E8884fe5Ab01,Deutsche Telekom
0x4eB9A761885eB383a422067Af4F7279dFC204745,Deutsche Telekom
0xB41DDB3F1F64B2c56acD1a83c6CE20eCD9ab82d0,SenseiNode
0xE556Da28015c04F35A52B3111B9F4120E908056e,SenseiNode
0x157034735EfF186f38AEFA850Bfc3cD04D7C8d8d,Validation Cloud
0xd42F7E082cE42d89797775B5b328C54df7a22726,Validation Cloud
0x67b4c5e1340CA71420Acb018663BB434Ddc13d7B,01node
0xcEf78991Df18B131eED7bBf91C3C7da2e78338e5,01node
0x8e6013Ee35B01c9f0d4555898301971CE024e02F,Republic Crypto
0xc425De73A1861ce0E65CC18531FBB185aAF24e46,Republic Crypto
0xF37FeF00Fe67956E9870114815c42F0Cc18373ce,P2P
0xec38DA5A314Af424b1dC65a0cAa1F38D0bb99220,Bware Labs (Alchemy)
0xb8950c47E8B9e539601cB47A167DE8bf4Cb1289E,Bware Labs (Alchemy)
0xE930779472c04Dd97AF5b8B83d9EC95ABdA38dcE,DappNode
0x53390590476dC98860316e4B46Bb9842AF55efc4,DappNode
0xfea66cb7571e251c4fc000beaf0ef771d5c78793,Node3.Tech
0x462f0560e473e1545Fd4d0680C02c499aaf01711,H2O Nodes GmbH
0xc771a77617Fba4403E70E1fe0B1d4131e00AE273,Nodes.Guru
0xf76f2479D4a3D96134C0E64008df612662864520,Spectrum Staking
0x97a18b9101EeFBdCF7775007546D100755a22ED7,SenseiNode
0xD7f5b619441fAfE525Ea3aBeBCd4a961C1227426,SenseiNode
0x208C0e34BDa420bf6659Df3D9edb2C2081fFC7C5,DragonStake SL
0x581E86115c7F0928B893E67d08CBA6737b9D8acb,DragonStake SL
0xAB420847576FacA8f228A274d5E1e07d2AE98aC4,Ebunker
0x28c7dE345c605d8976f0D9A7e563830Cd19044db,Republic Crypto
0x5f303640a003d665CcFB76D28176A494469a8ce8,Republic Crypto
0xb91d5A05Ec5298d69CdE53Ab688FfaB63bf16A0e,Everstake
0x2C7c7DC74fb496c8C6881eD146F4A571a783AEf4,Blockscape
0x5B27100dFC4F76737d3007298C991dafdEf9dC5B,RockawayX Infra
0xB4084F25DfCb2c1bf6636b420b59eda807953769,Lavender.Five Nodes
0x317C422eBf202211Ba95E25f8CfEB2e04eBB19Ef,Lavender.Five Nodes
0xbA50093Bf21d3d98B4d3f9f5bCE6a51910e0ecaf,DSRV
0x6175CeD4E67e44cD73D87d2379D428e9468F579B,DSRV
